State,District,colleges,urban_colleges,universities,standalone,urb_hp_standalone,hei,urban_share
Karnataka,Bengaluru Urban,1233,1165,33,427,90,1693,0.9448499594484996
Telangana,Hyderabad,499,451,10,58,24,567,0.9038076152304609
Maharashtra,Pune,741,445,32,174,49,947,0.6005398110661269
Rajasthan,Jaipur,838,404,37,206,21,1081,0.4821002386634845
Gujarat,Ahmedabad,441,348,25,45,5,511,0.7891156462585034
Madhya Pradesh,Bhopal,426,297,28,20,5,474,0.6971830985915493
Karnataka,Kalaburagi,301,229,5,117,36,423,0.760797342192691
Maharashtra,Mumbai,230,226,17,53,25,300,0.9826086956521739
Maharashtra,Thane,301,217,1,72,18,374,0.7209302325581395
Uttar Pradesh,Lucknow,348,213,20,185,42,553,0.6120689655172413
Maharashtra,Mumbai Suburban,195,191,3,25,13,223,0.9794871794871794
Karnataka,Belagavi,325,190,3,100,15,428,0.5846153846153846
Madhya Pradesh,Indore,328,189,15,37,9,380,0.5762195121951219
Maharashtra,Nagpur,382,186,12,103,11,497,0.4869109947643979
West Bengal,Kolkata,187,178,15,76,22,278,0.9518716577540107
Tamil Nadu,Chennai,224,173,14,39,20,277,0.7723214285714286
Odisha,Khordha,307,169,17,140,22,464,0.5504885993485342
Rajasthan,Sikar,374,161,2,62,4,438,0.4304812834224599
Karnataka,Dharwad,197,160,7,78,11,282,0.8121827411167513
Karnataka,Dakshina Kannada,310,158,6,58,6,374,0.5096774193548387
Karnataka,Mysuru,206,156,5,53,13,264,0.7572815533980582
Uttar Pradesh,Gautam Buddha Nagar,187,156,11,43,31,241,0.8342245989304813
Karnataka,Bidar,219,148,2,140,23,361,0.6757990867579908
Telangana,Ranga Reddy,350,145,9,93,14,452,0.4142857142857143
Karnataka,Vijayapura,200,138,2,85,10,287,0.69
Madhya Pradesh,Jabalpur,192,137,8,17,4,217,0.7135416666666666
Maharashtra,Chhatrapati Sambhajinagar,352,137,3,117,18,472,0.38920454545454547
Bihar,Patna,251,134,14,61,13,326,0.5338645418326693
Andhra Pradesh,Visakhapatnam,207,133,5,55,12,267,0.642512077294686
Maharashtra,Nashik,306,130,3,114,16,423,0.42483660130718953
