0,1,2,3,4,5,6,7,8,9
"State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-29 Years Used Internet at Least Once During Last Three Months by Gender and Residence in India (January-March, 2025)"
States/UTs,Rural,Rural,Rural,Urban,Urban,Urban,All,All,All
States/UTs,Male,Female,Person,Male,Female,Person,Male,Female,Person
Andaman & Nicobar Islands,100.0,88.2,95.3,100.0,100.0,100.0,100.0,93.2,97.4
Andhra Pradesh,97.4,91.2,94.2,97.5,97.8,97.6,97.4,93.6,95.4
Arunachal Pradesh,85.9,70.8,78.5,91.2,86.7,88.9,87.1,74.6,80.9
Assam,97.1,92.3,94.7,99.5,99.1,99.3,97.4,93.2,95.2
Bihar,95.6,91.9,93.8,96.7,91.0,94.1,95.8,91.8,93.8
Chandigarh,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,91.2,83.4,87.2,94.2,91.3,92.8,91.7,84.9,88.2
Dadra and Nagar Haveli and Daman and Diu,100.0,65.1,82.0,100.0,100.0,100.0,100.0,91.2,96.1
Delhi,90.8,91.3,91.0,97.9,98.6,98.2,97.7,98.3,97.9
Goa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gujarat,96.0,90.6,93.4,97.4,89.9,94.3,96.7,90.3,93.8
Haryana,98.3,92.1,95.2,96.4,87.9,92.5,97.5,90.4,94.1
Himachal Pradesh,95.7,99.6,97.6,100.0,99.0,99.6,96.6,99.5,98.0
Jammu & Kashmir,95.8,95.0,95.5,95.5,98.5,96.9,95.7,95.8,95.8
Jharkhand,96.9,90.2,93.3,95.4,94.7,95.1,96.6,91.0,93.7
Karnataka,98.3,94.2,96.4,99.4,96.8,98.0,98.8,95.5,97.1
Kerala,100.0,100.0,100.0,99.3,99.7,99.5,99.6,99.8,99.7
Ladakh,100.0,100.0,100.0,87.3,100.0,91.5,97.2,100.0,98.6
Lakshadweep,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Madhya Pradesh,94.4,88.3,91.6,99.2,95.7,97.5,95.8,90.5,93.3
Maharashtra,96.3,91.4,94.1,96.4,93.9,95.2,96.4,92.6,94.6
Manipur,95.6,97.1,96.3,98.2,99.7,99.0,96.2,97.9,97.0
Meghalaya,94.5,95.3,94.9,99.1,98.1,98.6,95.3,95.9,95.6
Mizoram,99.4,99.4,99.4,99.4,100.0,99.7,99.4,99.7,99.5
Nagaland,94.9,95.2,95.1,100.0,97.8,98.9,97.3,96.3,96.8
Odisha,91.4,83.6,87.4,90.0,87.4,88.8,91.1,84.3,87.6
Puducherry,100.0,100.0,100.0,100.0,77.2,92.4,100.0,87.4,94.8
Punjab,94.6,92.3,93.5,93.9,97.3,95.2,94.3,94.0,94.2
Rajasthan,95.0,88.9,92.1,96.1,97.1,96.5,95.4,91.0,93.4
Sikkim,98.4,97.8,98.2,97.1,100.0,98.9,98.0,98.8,98.4
Tamil Nadu,95.2,95.1,95.1,96.0,95.8,95.9,95.6,95.4,95.5
Telangana,96.7,89.3,93.0,98.9,96.9,97.8,97.8,93.6,95.6
Tripura,80.5,65.9,72.9,95.3,96.1,95.8,83.2,73.8,78.1
Uttar Pradesh,94.1,86.7,90.5,95.3,89.4,92.5,94.4,87.3,91.0
Uttarakhand,98.9,97.4,98.2,94.9,100.0,97.3,97.1,98.5,97.8
West Bengal,96.6,89.6,92.9,98.0,96.0,97.0,97.0,91.3,94.0
India,95.4,89.8,92.7,96.9,94.3,95.7,95.9,91.3,93.6
