0,1,2,3,4,5,6,7,8,9
"State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)","State-wise Percentage of Persons of Age 15-24 Years Used Internet at Least Once During Last Three Months by Frequency of Internet Use and Residence in India (January-March, 2025)"
States/UTs,At Least Once in a Day,At Least Once in a Day,At Least Once in a Day,At Least Once in a Week But not Every Day,At Least Once in a Week But not Every Day,At Least Once in a Week But not Every Day,Not in Every Week,Not in Every Week,Not in Every Week
States/UTs,Rural,Urban,All,Rural,Urban,All,Rural,Urban,All
Andaman & Nicobar Islands,89.4,100.0,95.0,10.6,-,5.0,-,-,-
Andhra Pradesh,91.5,91.5,91.5,8.5,8.3,8.4,-,0.2,0.1
Arunachal Pradesh,69.5,89.3,74.7,29.4,6.0,23.3,1.1,4.7,2.0
Assam,89.6,96.6,90.4,10.3,3.4,9.5,0.1,-,0.1
Bihar,89.2,93.2,89.7,10.4,6.3,9.9,0.4,0.5,0.4
Chandigarh,-,96.6,96.6,-,3.4,3.4,-,-,-
Chhattisgarh,90.8,89.9,90.7,8.6,9.0,8.7,0.6,1.1,0.7
Dadra and Nagar Haveli and Daman and Diu,75.0,83.2,81.4,23.7,16.8,18.3,1.3,-,0.3
Delhi,94.7,94.9,94.9,5.3,5.1,5.1,-,-,-
Goa,100.0,100.0,100.0,-,-,-,-,-,-
Gujarat,87.9,91.7,89.9,11.6,5.6,8.6,0.5,2.7,1.6
Haryana,90.6,89.6,90.2,9.4,10.4,9.8,-,-,-
Himachal Pradesh,97.1,88.5,95.5,2.9,7.2,3.7,-,4.3,0.8
Jammu & Kashmir,84.1,92.4,85.7,15.9,7.1,14.2,-,0.6,0.1
Jharkhand,89.5,96.5,90.9,9.9,3.5,8.7,0.6,-,0.5
Karnataka,90.3,96.3,93.2,9.0,3.4,6.3,0.7,0.3,0.5
Kerala,97.3,97.3,97.3,2.1,2.0,2.0,0.6,0.7,0.7
Ladakh,91.7,100.0,92.9,8.3,-,7.1,-,-,-
Lakshadweep,100.0,100.0,100.0,-,-,-,-,-,-
Madhya Pradesh,91.1,94.9,92.2,8.8,4.7,7.6,0.1,0.4,0.2
Maharashtra,92.0,94.3,93.1,6.5,5.6,6.1,1.4,0.1,0.8
Manipur,94.6,99.1,95.9,5.1,0.9,4.0,0.2,-,0.2
Meghalaya,94.2,96.8,94.7,5.8,0.5,4.7,-,2.7,0.6
Mizoram,92.3,97.7,95.0,7.7,2.3,5.0,-,-,-
Nagaland,92.4,89.8,91.1,7.6,8.4,8.0,-,1.9,0.9
Odisha,79.4,96.3,82.8,18.2,2.0,15.0,2.4,1.7,2.2
Puducherry,84.4,99.1,94.1,15.6,0.9,5.9,-,-,-
Punjab,97.6,91.5,95.3,2.4,8.4,4.7,-,0.1,0.0
Rajasthan,88.2,93.2,89.7,11.2,6.1,9.7,0.5,0.6,0.6
Sikkim,98.4,100.0,99.0,1.6,-,1.0,-,-,-
Tamil Nadu,94.1,94.3,94.2,5.9,5.7,5.8,-,-,-
Telangana,93.0,96.1,94.7,6.2,2.8,4.4,0.8,1.1,1.0
Tripura,95.7,93.4,94.9,2.4,4.6,3.1,2.0,2.0,2.0
Uttar Pradesh,89.5,90.5,89.8,9.5,8.9,9.3,1.0,0.6,0.9
Uttarakhand,96.1,94.0,95.2,3.3,6.0,4.4,0.6,-,0.4
West Bengal,89.9,90.9,90.2,8.3,5.6,7.5,1.8,3.5,2.3
India,90.0,93.4,91.1,9.3,5.8,8.1,0.7,0.8,0.8
