state,rate_p,duty_p,total_p
Andaman and Nicobar Islands,888,0,888
Andhra Pradesh,1007,6,1013
Arunachal Pradesh,500,0,500
Assam,844,10,854
Bihar,750,45,795
Chandigarh,610,11,621
Chhattisgarh,813,98,911
Dadra and Nagar Haveli,334,0,334
Daman and Diu,364,0,364
Delhi (BYPL/BRPL/NDPL-TPDDL),1030,51,1081
Delhi (NDMC),1018,51,1069
Goa,467,70,537
Gujarat,524,131,656
"Gujarat (Torrent Power Ltd., Ahmedabad)",587,147,733
"Gujarat (Torrent power Ltd., Surat)",600,150,750
Haryana,728,10,738
Himachal Pradesh,513,41,555
Jammu and Kashmir,571,57,628
Jharkhand,692,30,721
Karnataka,848,51,899
"Bruhat Banglore Mahangara Palike, Municipal  Corp. & all Urban Areas Under Village Panchyats",791,47,838
Kerala,1010,93,1103
Lakshadweep,766,0,766
Madhya Pradesh (Urban Areas),765,114,879
(Rural Areas),748,112,860
Maharashtra,1117,244,1361
Maharashtra - Mumbai - (B.E.S.T),1112,258,1370
Maharashtra - Mumbai - (Reliance Energy),1189,274,1463
Maharashtra - Mumbai - (TATA`s),976,229,1205
Mizoram,590,0,590
Meghalaya,740,6,746
Nagaland,866,0,866
Odisha,696,28,724
Puducherry,623,31,654
Punjab,675,88,762
Rajasthan,1016,65,1081
Sikkim,630,0,630
Tamil Nadu,896,45,941
Tripura,768,0,768
Uttarakhand,631,15,646
Uttar Pradesh (Urban Area),1025,8,1032
(Rural Areas),393,8,401
West Bengal (Urban Areas),912,137,1048
(Rural Areas),912,137,1048
"West Bengal (CESC Ltd., Kolkata)",909,136,1045
West Bengal (DPSC Ltd.),704,106,810
West Bengal - Durgapur Project Ltd.,526,79,605
Telangana,994,6,1000
