State,MPCE_urban_2023_24
Andaman & N Islands,10453.0
Andhra Pradesh,7182.0
Arunachal Pradesh,9832.0
Assam,6794.0
Bihar,5080.0
Chandigarh,13425.0
Chhattisgarh,4927.0
Dadra & Nagar Haveli and Daman & Diu,6837.0
Delhi,8534.0
Goa,9726.0
Gujarat,7175.0
Haryana,8428.0
Himachal Pradesh,9223.0
Jammu & Kashmir,6327.0
Jharkhand,5393.0
Karnataka,8076.0
Kerala,7783.0
Ladakh,7533.0
Lakshadweep,6377.0
Madhya Pradesh,5538.0
Maharashtra,7363.0
Manipur,5945.0
Meghalaya,7839.0
Mizoram,8709.0
Nagaland,8022.0
Odisha,5825.0
Puducherry,8637.0
Punjab,7359.0
Rajasthan,6574.0
Sikkim,13927.0
Tamil Nadu,8165.0
Telangana,8978.0
Tripura,8034.0
Uttar Pradesh,5395.0
Uttarakhand,7486.0
West Bengal,5775.0
